X,target_group,ARE,IEG,variable,value
AC138393.3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.92936577917057
FBXO28,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.7275977752441
DEGS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.3446840988468
NVL,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.8725880715438
CNIH4,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,23.2680883038602
WDR26,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.9769945896724
LBR,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,23.2845416042786
AC092811.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.15434181764117
EPHX1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.1606229763375
AL591895.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.751846167074
TMEM63A,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.30247975063942
PYCR2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.9586827461499
SDE2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.23452346762031
ACBD3,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.4178623438798
LIN9,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.7674939356053
CDC42BPA,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,29.5949751474468
ZNF678,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.19788280193266
SNAP47,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.1081919350832
JMJD4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.99196145264758
WNT9A,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.019896688184
AL136379.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.72443573445023
C1orf35,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.88530439443478
MRPL55,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.2794420624131
GJC2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.13673670213305
IBA57-AS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.51891815419445
IBA57,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.79661536853318
OBSCN-AS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.8152124245382
OBSCN,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.20572746727253
TRIM11,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.13788549668071
HIST3H2A,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.50441158746732
AL139288.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.57853020195507
RNF187,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.2319238687396
RHOU,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.03793113446958
CCSAP,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.6011561092146
ABCB10,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,30.8976258133207
TAF5L,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.13381402659058
GALNT2,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.3406555482007
PGBD5,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.15571839020836
C1orf198,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,20.8708582138049
TTC13,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.7541179562748
C1orf131,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.56284248418994
EXOC8,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.75886483129613
SPRTN,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.72534620186679
EGLN1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.5476321339209
DISC1,0,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.46212711672254
SIPA1L2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.63096211838984
NTPCR,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,24.3522872609228
PCNX2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.65258823408046
MAP3K21,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.32846951920962
KCNK1,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.3843563424507
SLC35F3,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.6949224482722
COA6,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.7737573070414
IRF2BP2,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.6538875274487
FP700125.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.4920592152667
RBM34,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.52019274044462
ARID4B,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.23065761734948
GGPS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,27.2037240618494
B3GALNT2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.7603783617117
LYST,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.8856741194415
LGALS8,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.64961970843033
HEATR1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,22.7325806751395
MTR,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.0590241873377
RYR2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.95905838761501
OPN3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,34.4221653444987
CHML,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.0547014293604
EXO1,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.1011690358208
CEP170,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.642196715038
SDCCAG8,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.7703059033307
ADSS,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,35.0663695310452
DESI2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,30.2464892246504
COX20,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,25.0811867354029
HNRNPU,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.2862607349087
EFCAB2,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.9112990744559
TFB2M,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.3064705847189
CNST,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.0193527938582
AL591623.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.96375163369795
AL591848.3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.73693507579594
LINC01341,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.86110174424637
AHCTF1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.66730530863334
ZNF695,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.69674240185115
ZNF670,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.11751039315517
ZNF124,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.7151607824476
AL390728.6,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.02271454642654
ZNF496,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.47955430719709
SH3BP5L,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.71366675289137
ZNF672,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.36273658287804
ZNF692,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.77221973944491
PGBD2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.72206037825818
SLC30A3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.4431735568698
INPP4A,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.8920448315484
RHOB,5000-more,non-ARE,IEG,condHeLa_DMSO_rep1_hl,1.65260329421765
EHBP1,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.3434778604391
PELI1,100-999,non-ARE,IEG,condHeLa_DMSO_rep1_hl,6.53914710280567
AAK1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.9462645785452
FBXO41,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.4222484852644
TSN,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,46.056326172697
IFIH1,1-9,non-ARE,IEG,condHeLa_DMSO_rep1_hl,11.6784350552544
FAM117B,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.33852194656654
ZDBF2,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.3364373034232
DNAJB2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.6719911875492
CAB39,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,32.9124075332928
LRRFIP1,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.2602649368281
FAM110C,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.51133496805928
SH3YL1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.32044038715449
TMEM18,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.7418493041796
MYT1L,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.11966507819475
EIPR1-IT1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.76236051408371
TRAPPC12,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.72264238311099
AC231981.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.58275011615719
AC108488.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.3286349728405
RNASEH1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,22.8115592349707
RNASEH1-AS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.05186766328489
LINC01814,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.7322934888237
ID2,1000-4999,ARE,IEG,condHeLa_DMSO_rep1_hl,4.50275141141767
ASAP2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,22.3660050420118
ITGB1BP1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,30.2358041470058
CPSF3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,23.008097491804
ADAM17,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,25.4762499328108
TAF1B,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,22.6392087125066
GRHL1,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.71584992902795
AC104794.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.08465800082021
KLF11,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.51622645281197
RRM2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,30.7606286448734
AC007240.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.72148736329478
C2orf48,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.13415122373375
ODC1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,24.6228371856393
NOL10,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,27.2439550174126
RN7SL832P,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.18334911075921
ROCK2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.0096580492537
LINC00570,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.47672578841638
E2F6,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.58319888674928
LPIN1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.5946266887553
SMC6,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.5945777248561
GEN1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.89059300154324
RDH14,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.11495979604206
TTC32,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,20.4586793403961
WDR35,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.7704351883951
LAPTM4A,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,34.6721738914249
SDC1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.4434911464688
PUM2,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.59961599707874
LDAH,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,20.4177467306002
KLHL29,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.51259386999716
ATAD2B,0,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.80091661326817
UBXN2A,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.3229346049144
WDCP,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.37582592253177
ITSN2,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.1990551126627
NCOA1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,24.1112469716567
PTRHD1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,44.699190964088
CENPO,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.1272248638696
AC012073.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.42498421776792
DNAJC27,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.29828660740306
EFR3B,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.3516721986656
DNMT3A,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.9045823545297
DTNB,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.1036798751009
ASXL2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.0684186742267
KIF3C,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.5520194965047
RAB10,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,24.5382556820896
GAREM2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.6825691802406
SELENOI,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.3090787187583
OTOF,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.65554936303067
KCNK3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.45183911567452
SLC35F6,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.5433109363525
CENPA,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.7128972435187
TMEM214,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.8084889987311
EMILIN1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.12720658212227
KHK,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.65267933824322
PREB,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.3778773558576
SLC5A6,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.94582895502998
ATRAID,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,24.7920155755235
CAD,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.3990367836022
UCN,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.53967776052233
GTF3C2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.5017662404934
AC074117.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.17290554195829
EIF2B4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.0509536222447
ZNF513,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.19461345337654
PPM1G,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.1183335922312
IFT172,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.7921838310774
ZNF512,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.4264561318717
CCDC121,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.2599676965002
SUPT7L,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.0513989007285
SLC4A1AP,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.2623356392835
MRPL33,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.8476820386721
RBKS,0,ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.8458381055006
FOSL2,100-999,ARE,IEG,condHeLa_DMSO_rep1_hl,3.42339076537947
AC104695.3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.14880834843274
TRMT61B,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.8079597375758
WDR43,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.9770901549778
TOGARAM2,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.50955186406345
CLIP4,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.60697681069474
LCLAT1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,25.0990648200706
SPAST,0,ARE,non-IEG,condHeLa_DMSO_rep1_hl,28.6566114698584
SLC30A6,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.808949868389
YIPF4,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.0549070761738
BIRC6,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.1642592234475
AL133243.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.91822217130711
AL133243.3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.63085905181154
AL133243.4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.1636506613571
FAM98A,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.8594630605774
CRIM1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,24.1652850957226
AC007382.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,25.671023688861
STRN,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,31.9064650648986
HEATR5B,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.235449049206
GPATCH11,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.74902977651401
EIF2AK2,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.5012236112431
CEBPZOS,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,36.3629419248869
CEBPZ,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.40401772590143
AC007390.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.27661505171197
NDUFAF7,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.0570108128164
PRKD3,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.7419163330492
CDC42EP3,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.26359770190828
CYP1B1,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.3530232912098
ATL2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.9208849947387
HNRNPLL,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,26.5922880802131
SRSF7,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.7166417459456
GEMIN6,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.56169042802279
DHX57,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.0055483620313
SOS1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.605319096306
MAP4K3,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.96051097389008
AC007684.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.33404996291072
THUMPD2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.1421226061596
PKDCC,1000-4999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.94616567459392
EML4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.4222750215752
KCNG3,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.4534537441741
MTA3,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.6683578361907
ZFP36L2,nontarget,ARE,IEG,condHeLa_DMSO_rep1_hl,5.57605734234392
THADA,1000-4999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.1935192966129
PLEKHH2,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.1532412560173
DYNC2LI1,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.8448054754629
PPM1B,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.4089233693842
PREPL,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.9778524940341
SIX2,1000-4999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.26924049879103
SRBD1,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,20.3020934315777
PRKCE,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.72079651806249
EPAS1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.4864967250913
ATP6V1E2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.3018039814992
PIGF,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,31.4744415007257
SOCS5,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.57342687862473
LINC01119,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.4256482422942
TTC7A,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.8537279753804
AC073283.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.12486133246582
MSH6,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.68227184667944
FBXO11,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.81020485577899
FOXN2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.46513496724042
SNORA75,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.18334911075921
CHAC2,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.3107232882546
GPR75,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.1051754955421
SPTBN1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.8909399413539
EML6,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.57991534428588
CLHC1,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.3081114791125
AC012358.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.69715570001203
RPS27A,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,37.8346452643216
MTIF2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,28.7622480609853
CCDC88A,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,22.7006251371702
CFAP36,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.6751582688197
PPP4R3B,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.1539120365718
PAPOLG,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.51302158349355
REL,10-99,ARE,IEG,condHeLa_DMSO_rep1_hl,3.54709575498755
PUS10,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.06783139212633
PEX13,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.2919025024472
KIAA1841,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.0552587960469
AC016747.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.10963579746125
C2orf74,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.0593047484943
AHSA2,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.8848395480687
USP34,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.1645085967715
AC016727.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.1831983707184
XPO1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,23.1073394408511
FAM161A,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.3375023693497
B3GNT2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.98365984872499
OTX1,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.25818747995178
WDPCP,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.7161714404784
VPS54,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.2978020137817
LGALSL,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,19.5109421452024
AFTPH,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.54216156955253
SERTAD2,1000-4999,ARE,IEG,condHeLa_DMSO_rep1_hl,4.2091736030522
SLC1A4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.40399906774857
CEP68,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.80014376361266
SPRED2,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.51510477725717
MEIS1,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.78453325607401
ETAA1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.44006930028094
PNO1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.3279912764253
PPP3R1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,36.2972027304434
CNRIP1,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.3101197765994
FBXO48,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.99965616336169
MXD1,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.53008249905413
PCBP1-AS1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.51680346544792
PCBP1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.31749010754
C2orf42,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.9876826373104
TIA1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,23.929024569655
SNRPG,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,41.9479826325754
TGFA,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.3002606927586
TEX261,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.5492269161204
NAGK,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.77315556755295
