Distance,RBP,MedianDistanceToPABP
177,ACIN1,122
269,ACIN1,122
45,ACIN1,122
47,ACIN1,122
7,ACIN1,122
80,ACIN1,122
6,ACIN1,122
277,ACIN1,122
6,ACIN1,122
216,ACIN1,122
133,ACIN1,122
27,ACIN1,122
462,ACIN1,122
462,ACIN1,122
10,ACIN1,122
383,ACIN1,122
3,ACIN1,122
24,ACIN1,122
200,ACIN1,122
2,ACIN1,122
177,ACIN1,122
5,ACIN1,122
171,ACIN1,122
224,ACIN1,122
14,ACIN1,122
233,ACIN1,122
102,ACIN1,122
90,ACIN1,122
57,ACIN1,122
6,ACIN1,122
155,ACIN1,122
124,ACIN1,122
276,ACIN1,122
30,ACIN1,122
415,ACIN1,122
61,ACIN1,122
4,ACIN1,122
278,ACIN1,122
36,ACIN1,122
216,ACIN1,122
145,ACIN1,122
2,ACIN1,122
21,ACIN1,122
155,ACIN1,122
187,ACIN1,122
136,ACIN1,122
205,ACIN1,122
18,ACIN1,122
13,ACIN1,122
1,ACIN1,122
339,ACIN1,122
369,ACIN1,122
1,ACIN1,122
322,ACIN1,122
20,ACIN1,122
66,ACIN1,122
8,ACIN1,122
90,ACIN1,122
57,ACIN1,122
228,ACIN1,122
114,ACIN1,122
29,ACIN1,122
44,ACIN1,122
0,ACIN1,122
138,ACIN1,122
198,ACIN1,122
260,ACIN1,122
153,ACIN1,122
82,ACIN1,122
4,ACIN1,122
252,ACIN1,122
428,ACIN1,122
396,ACIN1,122
42,ACIN1,122
41,ACIN1,122
337,ACIN1,122
403,ACIN1,122
326,ACIN1,122
21,ACIN1,122
48,ACIN1,122
27,ACIN1,122
12,ACIN1,122
5,ACIN1,122
156,ACIN1,122
70,ACIN1,122
173,ACIN1,122
40,ACIN1,122
6,ACIN1,122
157,ACIN1,122
397,ACIN1,122
332,ACIN1,122
24,ACIN1,122
17,ACIN1,122
73,ACIN1,122
430,ACIN1,122
199,ACIN1,122
54,ACIN1,122
43,ACIN1,122
419,ACIN1,122
274,ACIN1,122
238,ACIN1,122
122,ACIN1,122
76,ACIN1,122
25,ACIN1,122
6,ACIN1,122
12,ACIN1,122
293,ACIN1,122
278,ACIN1,122
226,ACIN1,122
425,ACIN1,122
1,ACIN1,122
68,ACIN1,122
122,ACIN1,122
11,ACIN1,122
7,ACIN1,122
343,ACIN1,122
124,ACIN1,122
10,ACIN1,122
278,ACIN1,122
55,ACIN1,122
22,ACIN1,122
217,ACIN1,122
226,ACIN1,122
128,ACIN1,122
5,ACIN1,122
156,ACIN1,122
210,ACIN1,122
116,ACIN1,122
111,ACIN1,122
30,ACIN1,122
425,ACIN1,122
225,ACIN1,122
298,ACIN1,122
153,ACIN1,122
84,ACIN1,122
2,ACIN1,122
17,ACIN1,122
67,ACIN1,122
282,ACIN1,122
108,ACIN1,122
3,ACIN1,122
1,ACIN1,122
246,ACIN1,122
262,ACIN1,122
438,ACIN1,122
378,ACIN1,122
35,ACIN1,122
81,ACIN1,122
177,ACIN1,122
62,ACIN1,122
423,ACIN1,122
363,ACIN1,122
11,ACIN1,122
3,ACIN1,122
103,ACIN1,122
30,ACIN1,122
312,ACIN1,122
35,ACIN1,122
225,ACIN1,122
8,ACIN1,122
89,ACIN1,122
11,ACIN1,122
230,AGO,143
105,AGO,143
104,AGO,143
73,AGO,143
27,AGO,143
432,AGO,143
370,AGO,143
27,AGO,143
438,AGO,143
76,AGO,143
169,AGO,143
169,AGO,143
109,AGO,143
389,AGO,143
420,AGO,143
201,AGO,143
211,AGO,143
168,AGO,143
2,AGO,143
2,AGO,143
271,AGO,143
426,AGO,143
369,AGO,143
155,AGO,143
23,AGO,143
447,AGO,143
13,AGO,143
97,AGO,143
396,AGO,143
216,AGO,143
52,AGO,143
441,AGO,143
270,AGO,143
65,AGO,143
453,AGO,143
313,AGO,143
306,AGO,143
126,AGO,143
391,AGO,143
70,AGO,143
226,AGO,143
234,AGO,143
223,AGO,143
149,AGO,143
408,AGO,143
124,AGO,143
343,AGO,143
172,AGO,143
25,AGO,143
66,AGO,143
36,AGO,143
44,AGO,143
234,AGO,143
327,AGO,143
74,AGO,143
302,AGO,143
211,AGO,143
58,AGO,143
49,AGO,143
263,AGO,143
84,AGO,143
90,AGO,143
36,AGO,143
154,AGO,143
251,AGO,143
9,AGO,143
80,AGO,143
330,AGO,143
351,AGO,143
22,AGO,143
82,AGO,143
117,AGO,143
143,AGO,143
336,AGO,143
467,AGO,143
42,AGO,143
95,AGO,143
20,AGO,143
95,AGO,143
270,AGO,143
222,AGO,143
318,AGO,143
451,AGO,143
310,AGO,143
272,AGO,143
221,AGO,143
1,AGO,143
314,AGO,143
214,AGO,143
10,AGO,143
325,AGO,143
264,AGO,143
315,AGO,143
35,AGO,143
70,AGO,143
64,AGO,143
349,AGO,143
182,AGO,143
271,AGO,143
75,AGO,143
233,AGO,143
224,AGO,143
405,AGO,143
269,AGO,143
61,AGO,143
36,AGO,143
64,AGO,143
243,AGO,143
438,AGO,143
158,AGO,143
276,AGO,143
185,AGO,143
115,AGO,143
70,AGO,143
88,AGO,143
11,AGO,143
77,AGO,143
94,AGO,143
95,AGO,143
177,AGO,143
14,AGO,143
154,AGO,143
94,AGO,143
151,AGO,143
254,AGO,143
106,AGO,143
468,AGO,143
306,AGO,143
105,AGO,143
56,AGO,143
130,AGO,143
446,AGO,143
316,AGO,143
215,AGO,143
20,AGO,143
324,AGO,143
34,AGO,143
54,AGO,143
453,AGO,143
207,AGO,143
76,AGO,143
87,AGO,143
95,AGO,143
235,AGO,143
396,AGO,143
