"","Ctrl1_CLIP.merged_uniq.bam_log10_p1","Ctrl2_CLIP.merged_uniq.bam_log10_p1","CPEB4_CLIP_r1_CLIP_4SU_DMSO.merged_uniq.bam_log10_p1","RMD1_CLIP.merged_uniq.bam_log10_p1","RMD2_CLIP.merged_uniq.bam_log10_p1","CPEB4_CLIP_r1_CLIP_4SU_RMD.merged_uniq.bam_log10_p1"
"5S_rRNA",0.903089986991944,0.954242509439325,0,0.301029995663981,0,0
"7SK",0,0,0,0.477121254719662,0,0
"A2MP1",0.602059991327962,0.845098040014257,0,0,0,0
"AACS",1,0.301029995663981,0,0.778151250383644,0.301029995663981,0
"AAED1",1.8750612633917,2.02530586526477,1.27875360095283,1.50514997831991,1.25527250510331,1.30102999566398
"AAK1",1.11394335230684,1.20411998265592,0,1.07918124604762,0.301029995663981,0
"AAMDC",0,0.301029995663981,1.43136376415899,0,0.477121254719662,1.44715803134222
"AANAT",0.477121254719662,0.301029995663981,0.301029995663981,0,0,0
"AAR2",1.65321251377534,1.66275783168157,1.11394335230684,0.477121254719662,0.698970004336019,0.698970004336019
"AASDH",0.698970004336019,0.698970004336019,0.301029995663981,0.845098040014257,0,0.602059991327962
"AASDHPPT",0.954242509439325,1.25527250510331,0.301029995663981,0.903089986991944,0.602059991327962,0.602059991327962
"AATK",0,0,0.301029995663981,0.301029995663981,0,1.04139268515822
"AB015752.3",0,0.477121254719662,0.477121254719662,0,0,0
"ABAT",0.845098040014257,0.845098040014257,0.301029995663981,0.301029995663981,0,0
"ABCA1",0.778151250383644,1,0,0.602059991327962,0.301029995663981,1.23044892137827
"ABCA12",0.778151250383644,0.778151250383644,0,0.602059991327962,0.301029995663981,0
"ABCA13",0.477121254719662,0.301029995663981,0.301029995663981,0.778151250383644,0.778151250383644,0.477121254719662
"ABCA17P",0.477121254719662,0.698970004336019,0.301029995663981,0,0,0
"ABCA3",0.477121254719662,0.698970004336019,0.477121254719662,0.301029995663981,0,0
"ABCA4",0,0,1.91907809237607,0,0,2.09342168516224
"ABCA8",0.845098040014257,0.954242509439325,0.477121254719662,0,0,0
"ABCB1",0,0,0.602059991327962,0.698970004336019,0.778151250383644,0.602059991327962
"ABCB4",0.477121254719662,0.602059991327962,0,0.301029995663981,0.301029995663981,0.301029995663981
"ABCC1",1.36172783601759,1.49136169383427,1.07918124604762,1.04139268515822,0.698970004336019,1.17609125905568
"ABCC10",0.477121254719662,0.477121254719662,0,0.698970004336019,0.301029995663981,0
"ABCC2",1.38021124171161,1.43136376415899,0.903089986991944,0.301029995663981,0,0
"ABCC5",1.60205999132796,1.64345267648619,0.477121254719662,1.36172783601759,1.25527250510331,0
"ABCD2",0,0,0,0,0.301029995663981,0.477121254719662
"ABCD4",0.845098040014257,0.778151250383644,0,0.698970004336019,0,0
"ABCE1",0.698970004336019,0.698970004336019,0.301029995663981,0.845098040014257,0.301029995663981,0
"ABCG2",1.54406804435028,1.5910646070265,0,0.698970004336019,0.698970004336019,0
"ABHD13",1.69897000433602,1.83884909073726,0.778151250383644,1.83884909073726,1.44715803134222,0.845098040014257
"ABHD15",0.778151250383644,0.477121254719662,0,0,0.477121254719662,0
"ABHD17A",0,0,0.477121254719662,0,0,0.301029995663981
"ABHD17B",2.10720996964787,2.25527250510331,1.39794000867204,1.98227123303957,1.75587485567249,1.55630250076729
"ABHD17C",1.65321251377534,1.72427586960079,0,1.57978359661681,0.903089986991944,0.477121254719662
"ABHD2",0.602059991327962,0.954242509439325,0.301029995663981,1.11394335230684,0.778151250383644,0.698970004336019
"ABHD4",1.30102999566398,1.38021124171161,0.477121254719662,1.23044892137827,0.698970004336019,0.301029995663981
"ABHD5",0.698970004336019,0.602059991327962,0.477121254719662,0.845098040014257,1.04139268515822,1.04139268515822
"ABHD6",0.845098040014257,0.698970004336019,0.301029995663981,0,0,0
"ABHD8",0.602059991327962,0.954242509439325,0,0.954242509439325,0.698970004336019,0.698970004336019
"ABI1",1.55630250076729,1.43136376415899,0.477121254719662,1.53147891704226,1.34242268082221,0.477121254719662
"ABI2",2.0899051114394,2.24303804868629,0.845098040014257,1.51851393987789,1.38021124171161,1.57978359661681
"ABI3BP",1.14612803567824,1.34242268082221,0.477121254719662,0.845098040014257,0.477121254719662,0.903089986991944
"ABL1",1.55630250076729,1.88649072517248,1.41497334797082,1.11394335230684,1,1.43136376415899
"ABL2",1.39794000867204,1.51851393987789,0,1.36172783601759,1.04139268515822,0.477121254719662
"ABLIM2",0.778151250383644,1,0.477121254719662,0,0.301029995663981,0.698970004336019
"ABLIM3",0,0,0,0.602059991327962,0.477121254719662,0
"ABTB2",0.698970004336019,1.04139268515822,1.30102999566398,1.30102999566398,1.14612803567824,1.14612803567824
"AC002066.1",0.845098040014257,0.954242509439325,0.602059991327962,0.698970004336019,0.778151250383644,0
"AC002116.7",0.698970004336019,0.602059991327962,0.903089986991944,0,0.301029995663981,0.477121254719662
"AC002310.13",0.301029995663981,0.477121254719662,0.602059991327962,0,0.301029995663981,0.698970004336019
"AC002383.2",0.845098040014257,1.25527250510331,0,0.903089986991944,0.602059991327962,0
"AC002429.5",0.477121254719662,0.778151250383644,0.903089986991944,0,0,0
"AC002465.2",0.477121254719662,0.602059991327962,0,0.301029995663981,0.301029995663981,0
"AC003005.4",0.301029995663981,0,0,0.477121254719662,0.477121254719662,0
"AC003051.1",0.698970004336019,0.602059991327962,0,0,0.477121254719662,0.602059991327962
"AC003090.1",0,0,0,0,0.477121254719662,0.477121254719662
"AC003101.1",0.301029995663981,0.477121254719662,0,0,0,0
