X,IEG,variable,value,condition,siCPEB4,mygroup
FAM212B,non-IEG,mean_siCPEB4_RMD,3.43166716666534,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DDX20,non-IEG,mean_siCPEB4_RMD,2.890108854596495,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SLC16A1,IEG,mean_siCPEB4_RMD,4.36527444204229,RMD,siCPEB4,RMD_IEG_siCPEB4
SLC16A1-AS1,non-IEG,mean_siCPEB4_RMD,3.940054340233415,RMD,siCPEB4,RMD_non-IEG_siCPEB4
LRIG2,non-IEG,mean_siCPEB4_RMD,2.816688941318125,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MAGI3,non-IEG,mean_siCPEB4_RMD,4.00837761565518,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RSBN1,non-IEG,mean_siCPEB4_RMD,3.49628679453467,RMD,siCPEB4,RMD_non-IEG_siCPEB4
AP4B1,non-IEG,mean_siCPEB4_RMD,3.266572819140965,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DCLRE1B,non-IEG,mean_siCPEB4_RMD,3.062649726407385,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TRIM33,non-IEG,mean_siCPEB4_RMD,3.8179835936391653,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SIKE1,non-IEG,mean_siCPEB4_RMD,5.41780464166335,RMD,siCPEB4,RMD_non-IEG_siCPEB4
VANGL1,non-IEG,mean_siCPEB4_RMD,3.162720416636775,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SLC22A15,non-IEG,mean_siCPEB4_RMD,3.9147214649736153,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MAB21L3,non-IEG,mean_siCPEB4_RMD,3.01164648037796,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TRIM45,non-IEG,mean_siCPEB4_RMD,4.12483894141329,RMD,siCPEB4,RMD_non-IEG_siCPEB4
FAM46C,non-IEG,mean_siCPEB4_RMD,3.444349843022115,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ZNF697,non-IEG,mean_siCPEB4_RMD,4.045752361999504,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NBPF15,non-IEG,mean_siCPEB4_RMD,4.149071507254255,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NBPF20,non-IEG,mean_siCPEB4_RMD,2.70690988522118,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RNF115,non-IEG,mean_siCPEB4_RMD,4.34690332313522,RMD,siCPEB4,RMD_non-IEG_siCPEB4
POLR3C,non-IEG,mean_siCPEB4_RMD,4.243879999062195,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ANKRD34A,non-IEG,mean_siCPEB4_RMD,4.099812019115765,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TXNIP,non-IEG,mean_siCPEB4_RMD,2.054013741822165,RMD,siCPEB4,RMD_non-IEG_siCPEB4
LINC01719,non-IEG,mean_siCPEB4_RMD,3.67890941685684,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NBPF10,non-IEG,mean_siCPEB4_RMD,2.168791270923145,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NBPF12,non-IEG,mean_siCPEB4_RMD,3.110937731142755,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PRKAB2,non-IEG,mean_siCPEB4_RMD,3.93646435650728,RMD,siCPEB4,RMD_non-IEG_siCPEB4
BCL9,non-IEG,mean_siCPEB4_RMD,2.90189208777594,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ACP6,non-IEG,mean_siCPEB4_RMD,3.9384517590148302,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NBPF11,non-IEG,mean_siCPEB4_RMD,3.7541557075954453,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NBPF14,non-IEG,mean_siCPEB4_RMD,2.91044440269037,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PDE4DIP,non-IEG,mean_siCPEB4_RMD,4.032938992648445,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NBPF9,non-IEG,mean_siCPEB4_RMD,3.7189691475789948,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NBPF19,non-IEG,mean_siCPEB4_RMD,2.8932766769063454,RMD,siCPEB4,RMD_non-IEG_siCPEB4
HIST2H2BF,non-IEG,mean_siCPEB4_RMD,3.0457668767048203,RMD,siCPEB4,RMD_non-IEG_siCPEB4
HIST2H2BE,non-IEG,mean_siCPEB4_RMD,3.230006511066335,RMD,siCPEB4,RMD_non-IEG_siCPEB4
HIST2H2AC,non-IEG,mean_siCPEB4_RMD,2.8086075383207,RMD,siCPEB4,RMD_non-IEG_siCPEB4
HIST2H2AB,non-IEG,mean_siCPEB4_RMD,2.506033931293465,RMD,siCPEB4,RMD_non-IEG_siCPEB4
BOLA1,non-IEG,mean_siCPEB4_RMD,3.67158039337539,RMD,siCPEB4,RMD_non-IEG_siCPEB4
OTUD7B,non-IEG,mean_siCPEB4_RMD,3.029161414333055,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PRPF3,non-IEG,mean_siCPEB4_RMD,3.45906052050585,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MCL1,IEG,mean_siCPEB4_RMD,3.86306628411489,RMD,siCPEB4,RMD_IEG_siCPEB4
GOLPH3L,non-IEG,mean_siCPEB4_RMD,3.2216712605219753,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SETDB1,non-IEG,mean_siCPEB4_RMD,3.12732393618061,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MINDY1,non-IEG,mean_siCPEB4_RMD,4.4485279703646246,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PRUNE1,non-IEG,mean_siCPEB4_RMD,2.84664921058856,RMD,siCPEB4,RMD_non-IEG_siCPEB4
BNIPL,non-IEG,mean_siCPEB4_RMD,2.24466783735999,RMD,siCPEB4,RMD_non-IEG_siCPEB4
C1orf56,non-IEG,mean_siCPEB4_RMD,3.273901809351905,RMD,siCPEB4,RMD_non-IEG_siCPEB4
CDC42SE1,non-IEG,mean_siCPEB4_RMD,3.8416711915564052,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SEMA6C,non-IEG,mean_siCPEB4_RMD,2.9032558149750747,RMD,siCPEB4,RMD_non-IEG_siCPEB4
LYSMD1,non-IEG,mean_siCPEB4_RMD,3.7044256112608247,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PIP5K1A,non-IEG,mean_siCPEB4_RMD,3.302099216748855,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ZNF687,non-IEG,mean_siCPEB4_RMD,2.90198612754785,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PI4KB,non-IEG,mean_siCPEB4_RMD,3.8171237030035154,RMD,siCPEB4,RMD_non-IEG_siCPEB4
POGZ,non-IEG,mean_siCPEB4_RMD,2.8107014583395653,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TUFT1,non-IEG,mean_siCPEB4_RMD,3.08115166717972,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RORC,non-IEG,mean_siCPEB4_RMD,2.8163962658085397,RMD,siCPEB4,RMD_non-IEG_siCPEB4
CHTOP,non-IEG,mean_siCPEB4_RMD,3.5296113324670397,RMD,siCPEB4,RMD_non-IEG_siCPEB4
GATAD2B,non-IEG,mean_siCPEB4_RMD,3.3661261060311602,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SLC39A1,non-IEG,mean_siCPEB4_RMD,3.90183831660862,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ATP8B2,non-IEG,mean_siCPEB4_RMD,3.5484379521096,RMD,siCPEB4,RMD_non-IEG_siCPEB4
IL6R,non-IEG,mean_siCPEB4_RMD,3.5463092986767952,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PMVK,non-IEG,mean_siCPEB4_RMD,4.566985553734475,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PYGO2,non-IEG,mean_siCPEB4_RMD,2.83439361052212,RMD,siCPEB4,RMD_non-IEG_siCPEB4
FLAD1,non-IEG,mean_siCPEB4_RMD,3.7479184365982547,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ZBTB7B,non-IEG,mean_siCPEB4_RMD,3.1942133525697898,RMD,siCPEB4,RMD_non-IEG_siCPEB4
EFNA4,non-IEG,mean_siCPEB4_RMD,3.134323637507695,RMD,siCPEB4,RMD_non-IEG_siCPEB4
AC234582.1,non-IEG,mean_siCPEB4_RMD,3.13192047187992,RMD,siCPEB4,RMD_non-IEG_siCPEB4
CLK2,non-IEG,mean_siCPEB4_RMD,3.34285191646273,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ASH1L,non-IEG,mean_siCPEB4_RMD,3.994960378653575,RMD,siCPEB4,RMD_non-IEG_siCPEB4
GON4L,non-IEG,mean_siCPEB4_RMD,3.216618468271805,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RIT1,non-IEG,mean_siCPEB4_RMD,4.158568648883275,RMD,siCPEB4,RMD_non-IEG_siCPEB4
KIAA0907,non-IEG,mean_siCPEB4_RMD,7.51508819540346,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ARHGEF2,non-IEG,mean_siCPEB4_RMD,3.4679668334689104,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MEX3A,non-IEG,mean_siCPEB4_RMD,3.060100321055105,RMD,siCPEB4,RMD_non-IEG_siCPEB4
LMNA,non-IEG,mean_siCPEB4_RMD,3.959798641364635,RMD,siCPEB4,RMD_non-IEG_siCPEB4
SLC25A44,non-IEG,mean_siCPEB4_RMD,2.757950521963255,RMD,siCPEB4,RMD_non-IEG_siCPEB4
MEF2D,non-IEG,mean_siCPEB4_RMD,2.96238148983661,RMD,siCPEB4,RMD_non-IEG_siCPEB4
IQGAP3,non-IEG,mean_siCPEB4_RMD,3.358672448904595,RMD,siCPEB4,RMD_non-IEG_siCPEB4
AL365181.2,non-IEG,mean_siCPEB4_RMD,3.325508681421205,RMD,siCPEB4,RMD_non-IEG_siCPEB4
AL365181.3,non-IEG,mean_siCPEB4_RMD,2.98260467205502,RMD,siCPEB4,RMD_non-IEG_siCPEB4
AL590666.2,non-IEG,mean_siCPEB4_RMD,4.658677962095625,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ISG20L2,non-IEG,mean_siCPEB4_RMD,3.01818396937075,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RRNAD1,non-IEG,mean_siCPEB4_RMD,3.930402898335645,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PRCC,non-IEG,mean_siCPEB4_RMD,3.52285063819704,RMD,siCPEB4,RMD_non-IEG_siCPEB4
ETV3,non-IEG,mean_siCPEB4_RMD,3.2863723321290896,RMD,siCPEB4,RMD_non-IEG_siCPEB4
KIRREL1,non-IEG,mean_siCPEB4_RMD,3.723373972188485,RMD,siCPEB4,RMD_non-IEG_siCPEB4
IGSF9,non-IEG,mean_siCPEB4_RMD,3.45038486316231,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PIGM,non-IEG,mean_siCPEB4_RMD,4.242445762644275,RMD,siCPEB4,RMD_non-IEG_siCPEB4
USF1,non-IEG,mean_siCPEB4_RMD,3.46464174201448,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NIT1,non-IEG,mean_siCPEB4_RMD,3.9874849920278654,RMD,siCPEB4,RMD_non-IEG_siCPEB4
USP21,non-IEG,mean_siCPEB4_RMD,3.642294209373555,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TOMM40L,non-IEG,mean_siCPEB4_RMD,3.909851206881775,RMD,siCPEB4,RMD_non-IEG_siCPEB4
DUSP12,non-IEG,mean_siCPEB4_RMD,4.233722071872935,RMD,siCPEB4,RMD_non-IEG_siCPEB4
NOS1AP,non-IEG,mean_siCPEB4_RMD,2.8203508753261453,RMD,siCPEB4,RMD_non-IEG_siCPEB4
C1orf226,non-IEG,mean_siCPEB4_RMD,2.35159197872696,RMD,siCPEB4,RMD_non-IEG_siCPEB4
HSD17B7,non-IEG,mean_siCPEB4_RMD,4.04045150521154,RMD,siCPEB4,RMD_non-IEG_siCPEB4
RGS5,non-IEG,mean_siCPEB4_RMD,5.249543104885455,RMD,siCPEB4,RMD_non-IEG_siCPEB4
PBX1,non-IEG,mean_siCPEB4_RMD,3.8999465772393047,RMD,siCPEB4,RMD_non-IEG_siCPEB4
UCK2,non-IEG,mean_siCPEB4_RMD,3.8954818730685803,RMD,siCPEB4,RMD_non-IEG_siCPEB4
TADA1,non-IEG,mean_siCPEB4_RMD,3.186357907725375,RMD,siCPEB4,RMD_non-IEG_siCPEB4
